year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
2015,6,-0.04322552,0.33272,-0.04322552,-0,-0.04148742,-0.0017381
2015,7,-0.00964988,0.12738,-0.00964988,-0,-0.01243384,0.00278396
2015,8,0,0,0,0,0,0
2015,9,-0.07209749,0.14133,-0.07209749,-0,-0.04449094,-0.02760655
2015,10,0.04095427,-0.6055,0.04095427,0,0.05664601,-0.01569174
2015,11,0,0,0,0,0,0
2015,12,0.02522796,0.13922,0,0.02522796,0.00429783,0.02093013
2016,1,-0.02841028,-0.36597,-0,-0.02841028,0.00765567,-0.03606595
2016,2,0,0,0,0,0,0
2016,3,-0.08787351,0.26709,-0.08787351,-0,-0.05989108,-0.02798243
2016,4,0.01111675,0.24476,0,0.01111675,-0.00906209,0.02017884
2016,5,0,0,0,0,0,0
2016,6,-0.04418012,-0.04467,-0,-0.04418012,-0.01942175,-0.02475837
2016,7,0.00535743,0.21188,0,0.00535743,-0.0099777,0.01533513
2016,8,0,0,0,0,0,0
2016,9,-0.03628537,0.29354,-0.03628537,-0,-0.03567697,-0.0006084
2016,10,0,0,0,0,0,0
2016,11,0.00333167,0.06189,0,0.00333167,-0.0020311,0.00536277
2016,12,0.0383852,-0.24159,0.0383852,0,0.03362371,0.00476149
2017,1,0,0,0,0,0,0
2017,2,-0.02110172,0.16147,-0.02110172,-0,-0.02019609,-0.00090563
2017,3,-0.04850882,0.28177,-0.04850882,-0,-0.04108563,-0.00742319
2017,4,0,0,0,0,0,0
2017,5,0.01424793,0.03859,0,0.01424793,0.00481883,0.0094291
2017,6,0.01966509,-0.0406,0.01966509,0,0.01225774,0.00740735
2017,7,-0.01359338,0.02098,-0.01359338,-0,-0.00804991,-0.00554347
2017,8,0,0,0,0,0,0
2017,9,0.0434176,-0.14615,0.0434176,0,0.03043891,0.01297869
2017,10,0,0,0,0,0,0
2017,11,0.00190447,0.08571,0,0.00190447,-0.00416756,0.00607203
2017,12,-0.00607492,0.07573,-0.00607492,-0,-0.00756111,0.00148619
2018,1,0.00526888,-0.10361,0.00526888,0,0.00882347,-0.00355459
2018,2,0,0,0,0,0,0
2018,3,-0.00153208,0.3479,-0.00153208,-0,-0.02154746,0.02001538
2018,4,0,0,0,0,0,0
2018,5,-0.00542478,0.1428,-0.00542478,-0,-0.01124239,0.00581761
2018,6,0.01861944,-0.13533,0.01861944,0,0.01739351,0.00122593
2018,7,0,0,0,0,0,0
2018,8,-0.00308025,0.02134,-0.00308025,-0,-0.00281485,-0.0002654
2018,9,0.00098942,0.22624,0,0.00098942,-0.01301949,0.01400891
2018,10,0,0,0,0,0,0
2018,11,0.00431935,0.09441,0,0.00431935,-0.0034798,0.00779915
2018,12,0.02380816,-0.94125,0.02380816,0,0.06812861,-0.04432045
2019,1,-0.02581252,0.77383,-0.02581252,-0,-0.05913014,0.03331762
2019,2,0,0,0,0,0,0
2019,3,-0.03398622,0.50599,-0.03398622,-0,-0.04721786,0.01323164
2019,4,0,0,0,0,0,0
2019,5,-0.04853458,0.20476,-0.04853458,-0,-0.0364984,-0.01203618
2019,6,-0.0706515,0.23767,-0.0706515,-0,-0.0495227,-0.0211288
